cluster,size,acc,tp,tn,fp,fn
186,48.0,0.5833333333333334,0.3958333333333333,0.1875,0.22916666666666666,0.1875
187,17.0,0.6470588235294118,0.0,0.6470588235294118,0.0,0.35294117647058826
188,77.0,0.7272727272727273,0.1038961038961039,0.6233766233766234,0.09090909090909091,0.18181818181818182
189,11.0,0.6363636363636364,0.0,0.6363636363636364,0.0,0.36363636363636365
190,76.0,0.631578947368421,0.5131578947368421,0.11842105263157894,0.27631578947368424,0.09210526315789473
191,27.0,0.9629629629629629,0.0,0.9629629629629629,0.0,0.037037037037037035
192,13.0,1.0,0.0,1.0,0.0,0.0
193,18.0,0.6111111111111112,0.0,0.6111111111111112,0.0,0.3888888888888889
194,21.0,1.0,0.0,1.0,0.0,0.0
195,14.0,0.9285714285714286,0.0,0.9285714285714286,0.0,0.07142857142857142
196,27.0,0.9629629629629629,0.0,0.9629629629629629,0.0,0.037037037037037035
197,28.0,0.9642857142857143,0.0,0.9642857142857143,0.0,0.03571428571428571
198,35.0,0.6857142857142857,0.4857142857142857,0.2,0.2571428571428571,0.05714285714285714
199,16.0,1.0,0.0,1.0,0.0,0.0
200,24.0,0.9583333333333334,0.0,0.9583333333333334,0.0,0.041666666666666664
201,14.0,1.0,0.0,1.0,0.0,0.0
202,53.0,0.9811320754716981,0.0,0.9811320754716981,0.0,0.018867924528301886
203,143.0,0.916083916083916,0.916083916083916,0.0,0.08391608391608392,0.0
204,36.0,1.0,0.0,1.0,0.0,0.0
205,112.0,1.0,0.0,1.0,0.0,0.0
206,33.0,0.9090909090909091,0.0,0.9090909090909091,0.0,0.09090909090909091
207,11.0,0.8181818181818182,0.0,0.8181818181818182,0.0,0.18181818181818182
208,42.0,0.5476190476190477,0.5,0.047619047619047616,0.35714285714285715,0.09523809523809523
209,33.0,0.7878787878787878,0.7878787878787878,0.0,0.21212121212121213,0.0
210,36.0,0.8055555555555556,0.75,0.05555555555555555,0.19444444444444445,0.0
211,25.0,0.96,0.0,0.96,0.0,0.04
212,27.0,0.6666666666666666,0.037037037037037035,0.6296296296296297,0.0,0.3333333333333333
213,19.0,1.0,0.0,1.0,0.0,0.0
214,18.0,1.0,0.0,1.0,0.0,0.0
215,27.0,1.0,0.0,1.0,0.0,0.0
216,16.0,1.0,0.0,1.0,0.0,0.0
217,19.0,1.0,0.0,1.0,0.0,0.0
218,12.0,1.0,0.0,1.0,0.0,0.0
219,27.0,0.9629629629629629,0.9629629629629629,0.0,0.037037037037037035,0.0
220,15.0,1.0,0.0,1.0,0.0,0.0
221,27.0,0.7037037037037037,0.0,0.7037037037037037,0.0,0.2962962962962963
222,10.0,0.8,0.0,0.8,0.0,0.2
223,36.0,0.8611111111111112,0.0,0.8611111111111112,0.0,0.1388888888888889
224,21.0,1.0,0.0,1.0,0.0,0.0
225,14.0,1.0,0.0,1.0,0.0,0.0
226,25.0,0.92,0.0,0.92,0.0,0.08
227,13.0,0.8461538461538461,0.8461538461538461,0.0,0.15384615384615385,0.0
228,11.0,0.8181818181818182,0.8181818181818182,0.0,0.18181818181818182,0.0
229,18.0,0.9444444444444444,0.0,0.9444444444444444,0.0,0.05555555555555555
